label,text
Trust,RT @user: Quando ti presentano un tipo interessante! #taleequaleshow https://t.co/C3jHGK58y1
Neutral,Masha... fammi notizie. Cit. #chilhavisto
Trust,RT @user: Una delle esibizioni più emozionanti di quest’anno agli Oscar. @user si cala nei panni della grande @user…
Neutral,RT @user: “Questa è la legge che conoscono tutti i gladiatori: conquista la folla e conquisterai la libertà!” @user playing “Now W…
Trust,"Quanto è bello il Duomo di Milano, ogni volta che lo vedi rimani a bocca aperta e sembra veramente una cartolina. Una vera e propri meraviglia #Meraviglie https://t.co/yCKt5K75t9"
Trust,"RT @user: Il personaggio storico che mi ossessiona da una vita, di cui ho letto tutte le biografie, raccontato stasera dal mio divulg…"
Trust,Asia argento totalmente me #pechinoexpress
Neutral,"""Era seduta, le gambe accavallate, l'abito da sposa tirato un po' su le scopriva le scarpe, una caviglia. Poggiava il mento sul palmo di una mano, aveva uno sguardo serio, intenso, rivolto sfrontatamente all'obiettivo."" #lamicageniale https://t.co/VU5xl0p6dG"
Neutral,"RT @user: #Salvini: Conte è passato dai #portichiusi ai #portiaperti, da “Flat tax sì” a “Flat tax no”. Io ho un senso dell'onor…"
Anger,"RT @user: Nono, i giornalisti non hanno insultato Ultimo, io qua mica sento “ma vaffanculo stronzetto”, “sto coglione” MA FATEMI…"
Anger,RT @user: Faccio fatica a comprendere come si possa poi decidere di piazzare dei bimbi su quegli stessi sediolini. Rabbrividisco…
Joy,Venite nelle Marche!!! Grazie Albii!! ♥️♥️♥️ #Meraviglie
Neutral,RT @user: Le riunioni istituzionali sono importanti e #Salvini non ci è mai andato. Su sette consigli UE ha partecipato a uno solo!…
Trust,RT @user: POSSO VOTARE TIZIANO FERRO? #Sanremo2020
Surprise,"NONNA AMALIA! Non dire queste cose! Vabbè, perché ancora non hai visto come stanno bene insieme la tua nipotina con il dottorino #LAllieva2"
Trust,GLADIATORI GRAZIE PER AVER SALVATO I PALERMITANI  #PechinoExpress
Neutral,RT @user: Il momento del lancio della #Soyuz. Il nostro @user arriverà questa notte sulla Stazione Spaziale Internazionale. Ora su…
Neutral,Federico poteva essere perfino un mentalista #laportarossa2
Trust,@user @user @user Una grande artista 🔝👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
Trust,Anna ha ragione. Troppi pregiudizi in passato #DomenicaIn
Neutral,"RT @user: ""Mio padre Celestino è scomparso dal policlinico 'Gemelli' di #Roma"", appello in diretta per un anziano che potrebbe e…"
Neutral,RT @user: Prima regola di #PechinoExpress: mai partire a stomaco vuoto
Neutral,"RT @user: Antonio Ciontoli, chiesto omicidio volontario. PRIMO GRADO: 14 anni APPELLO: 5 anni ... CASSAZIONE va a finire che Marco Va…"
Trust,Mia madre già mi ha chiesto: «Voglio i capelli della Goggi fra una decina di anni». Loretta influencer. #TaleEQualeShow
Surprise,I Pelermitani culo pazzesco ✈️✈️✈️ #pechinoexpress
Surprise,"RT @user: Il personaggio di Clarice ha avuto un’evoluzione pazzesca in questa serie, ha acquistato consapevolezza e forza, e l’ha fat…"
Love,RT @user: Io adoro i #ridanciani. #pechinoexpress
Sadness,"@user Spero che non glielo permetteremo mai più,si lamentavano di Moggi,ma..stavano decisamente meglio a quei tempi che non oggi😉"
Anger,"""Spacciava per fame"" Certo tesoro e gli asini volano. #chilhavisto"
Neutral,"@user La risposta è semplice, la verità può essere incredibilmente ovvia, così ovvia che ci dà fastidio, non la vogliamo vedere, non la vogliamo prendere in considerazione. Così andiamo in cerca di spiegazioni complesse, sbagliando... #IlCantant"
Joy,@user Si scrive tutto attaccato 😂
Neutral,"RT @user: ""Noi abbiamo perso più voti per aver salvato i migranti che per il Jobs Act. Io non voglio perdere la mia umanità, non m…"
Anticipation,@user Stasera me lo sento
Sadness,"@user Bravo,purtroppo ha vinto chi non doveva vincere"
Anticipation,#pechinoexpress alla ricerca dell'oro perduto prossimamente su @user
Anger,@user Signori questa sera su Report è stato un bagno di sangue x la lega.. sono il proseguimento della DC FI e PD.. Vale la pena continuare? https://t.co/ko7KLlcCwi
Neutral,RT @user: Quando è partito l’Apollo 11 #PieroAngela si trovava al centro spaziale di Cape Canaveral. “Vedere salire questi omini su u…
Trust,"RT @user: Io nella Bibbia ci metterei Rolls Royce, poi fate voi. #Sanremo2020"
Anticipation,"RT @user: ⚡️ “Leonardo – Genio universale”: la seconda puntata di #Ulisse, con @user. TRA POCO su @user e in streamin…"
Joy,Orietta che oramai se ne sbatte e non camuffa neanche più la voce CHE MOOD🚀🚀🚀 #IlCantanteMascherato
Trust,"RT @user: Nicole, hai tutto il mio sostegno #ilCollegio"
Trust,RT @user: Post di sola adorazione per la nostra unica e inimitabile Contessina ?? (Jacopo anche coi capelli lunghi non sei comunq…
Neutral,"RT @user: Una notte di cinquant’anni fa ci siamo affacciati alla finestra, abbiamo guardato il cielo stellato e all’improvviso tutto…"
Anger,#Sanremo #Sanremo2019 @user @user e fattela na risata
Anticipation,Sono pronta per il cazziatone dei sorveglianti e del preside per la divisa sporca #IlCollegio
Sadness,Mi dispiace per Asia 😢 #pechinoexpress
Anger,"@user È solo quell'uomo che mi turba, l'accento di Roma lo trovo pure attraente di solito"
Neutral,RT @user: A Riace viene dissolto il paradigma dell’insicurezza e della sottrazione del lavoro da parte degli stranieri. Se è possibile a…
Sadness,@user Povera e disperata Italia.
Love,"Vilma, Mario e Gabriele vi voglio bene #ilcollegio https://t.co/UIjQoHbeH4"
Love,Amo i produttori di #pechinoexpress
Neutral,"RT @user: ++🔴 SCOOP #SANREMO2019 / #MAHMOOD, NASCOSTE LE PERCENTUALI DI VOTO MA C’È CHI LE HA CALCOLATE, SCOPRENDO CHE... ++ YouTre…"
Neutral,"Fausto Leali, non scaldarti che lì dentro non sei credibile #IlCantanteMascherato"
Trust,@user Eccoci funziona benissimo 💪🏻🌹#LaPortaRossa2 @user @user
Joy,@user ...e non ha peli sulle braccia.. 😂
Joy,Suor cristina a #tvoi ...ed io c'ero! #BallandoConLeStelle
Neutral,"RT @user: #Lega, il tesoriere Giulio Centemero, riferisce La Stampa, sarebbe indagato per finanziamento illecito: avrebbe dirottato f…"
Trust,Ma ci rendiamo contro che tra Sanremo Amica Geniale e adesso #pechinoexpress stiamo twittando da UNA SETTIMANA INTERA io sono STANCO
Joy,"""Non ti fare arrestare"" 😂😂😂 #IlCollegio"
Love,Solo questo: 😍 😍 😍 #AnnaEMarco #DonMatteo12 https://t.co/7aUru7GJId
Surprise,RT @user: Scusate sono sotto shock in che senso Diodato è del 1981. In che senso questo agosto fa 39 anni. Ma per me eravamo intorno…
