NEUTRA	 Nel 2018 il portale ha registrato 13 milioni di visitatori e ha venduto 2
GIOIA	🌟 Passo 7 per riportare le tue relazioni in tuo potere: Parlati con amore! Come mostrare empatia verso i tuoi errori? Individua il linguaggio violento che utilizzi per incolpare te stesso e cancellalo dal tuo vocabolario! Scopri di più qui: https://t.co/y08ZJ688XT #coaching https://t.co/hBjVyl5OJg
TRISTEZZA	comunque la violenza psicologica che fanno alcune donne tramite i loro figli nei confronti dei loro padri non esiste a sessi invertiti, o almeno non esiste a livello sociale. Anche quella è violenza eh, per esempio
RABBIA	 il padre pacificò il litigio fra due figli annebbiati dalla rabbia . 
TRISTEZZA	Che simpy gli youtuber che su Twitter fanno i finti woke contro chi parla di discriminazione di genere interagendo soltanto con chi si pone in modo palesemente scherzoso per poter sminuire chiunque non la pensi come loro wow iscritta adesso compro tutte le vostre magliettine
NEUTRA	 è la mafia su cui avevano indagato il capo della Mobile Boris Giuliano negli anni ‘70 e poi il giudice Giovanni Falcone . 
SORPRESA	L'unico modo che ho per rispondere a tanta violenza brutale è contrapporre la scuola. Tutta. mettete la scuola al centro di ogni discussione. I ragazzi, tutti, hanno bisogno della scuola. Perché non se ne parla ?
RABBIA	Voi Schizzi de merda Avete permesso tutto questo Mio stupro omividi attacchi terrorismo Sequestro ostaggi de Trump vacche Obama cubani Putin royal Governo italo Me e mio fratello
GIOIA	@Geggetrailibri @angryzenzy Solo i figli?! Ma dai!! Certo, come no, e la luna è più luminosa del sole!! 🤣🤣 E' una GIOIA e NON un peso crescere i propri figli. Ti qualifichi già dalla tua ultima frase. Una vera sofferenza è non poterli vedere per FALSE accuse(90%)di stalking, violenza domestica e pedofilia
GIOIA	 sono felicissima per te e mi auguro che mi inviterai quale damigella di onore . 
PAURA	 Mario ha spesso attacchi di ansia e di panico e soffre di depressione . 
NEUTRA	 Come si sa il carteggio di Croce e Gentile è stato a lungo pubblicato in due sedi distinte : le lettere di Croce in un massiccio volume stampato dalla Mondadori; quelle di Gentile in cinque volumi - i primi quattro editi dalla Sansoni 
PAURA	 i miei genitori hanno paura di invecchiare .
GIOIA	Sono contenta. Per Rosalinda, che è riuscita a denunciare finalmente lo stupro, per Max, che è cambiato. Per Adua, che si è tolta tanti sassolini dalle scarpe e per entrambi, perché adesso possono ritenersi amici. #gfvip
SORPRESA	 è veramente sorprendente che tu abbia scoperto la mia vera identità ! 
SORPRESA	Minchia come lo spiego alla tipa che mi ha accusata di body shaming nei confronti del suo beniamino tenore che canta cover orribili che non mi ero sul serio accorta che la foto fosse modificata, visto che mi ha scritto “non fingiamo di non capire che è una foto modificata1!1!”
TRISTEZZA	una ragazza muore fuggendo da uno stupro ma siamo noi esagerate che li facciamo piangere per men are trash
RABBIA	 Ma porcaputtana..🤦‍♂️.. possibile che Salvini non capisca che se nazionalizzi autostrade gli stessi posti di lavoro li dà lo Stato ? Ah dimenticavo... Leuropa non vuole😠
AMORE	Scusate ma quello non è Christian Grey? AMORE MIO
GIOIA	 è bello vedere l ' espressione raggiante dei bambini quando sono felici . 
GIOIA	 ragazza 
NEUTRA	" L ' obiettivo del ds romanista è quello di chiudere l ' affare il prima possibile per mettere così a disposizione di Fonseca il sostituto di Manolas . 	"
GIOIA	 devi dare una svolta alla tua vita se vuoi vivere felice e sereno con te stesso . 
NEUTRA	 Salvini fa muro 
PAURA	 Mario ha spesso attacchi di panico soffrendo di depressione . 
PAURA	 la protezione degli investimenti è una costante preoccupazione dei direttori finanziari e degli amministratori delegati . 
RABBIA	ma sapete cosa da veramente fastidio a noi femministe?? che quando parliamo di misoginia arriva sempre qualcuno che “mi dispiace per voi donne MA anche io soffro”, ci da fastidio il vostro vittimismo e il vostro voler essere al centro di problemi che voi nemmeno provate
NEUTRA	" Fiorini ( @UniCredit_IT ) : "" Per il #factoring il 2019 è sostanzialmente stabile sullo scorso anno . Diamo standard di qualità indispensabile per le imprese "" 	"
AMORE	@fannydelova Mai Violenza con le donne ❤
TRISTEZZA	Che bello guardare la puntata di Processi mediatici in cui parlano di uno stupro di gruppo in un bar e sentir dire che se l'è cercata. Ancora più bello notare che nel 2020 abbiamo gli stessi problemi di 40 anni fa.
GIOIA	 l ' abolizione della tassa sulla prima casa ha reso felici i proprietari degli immobili . 
NEUTRA	La pandemia ha colpito duramente le donne in Italia. Lo dimostrano le richieste di aiuto al 1522, ma anche alle nostre operatrici, e i risultati dell'indagine realizzata con . Non abbiamo mai smesso di supportare le donne in questa crisi
TRISTEZZA	 vedo con tristezza che 
NEUTRA	" Che competenze servono per essere innovativi ? E come migliorarle ? In Italia nasce il primo Osservatorio al mondo che le cerca nella genitorialità . @alleyoop24 #genitori #figli #innovazione 	"
RABBIA	madonna che rotture che sieteeeeee gli insulti sono insulti per tutti e il bodyshaming è una merda ma se non riconoscete l’esistenza del ‘thin privilege’ vuol dire che avete i prosciutti davanti agli occhi
RABBIA	“Buono perchè non ci sono segni di violenza sessuale” .... maledetti infami....... la vita vi restituirá tutto il male #giustiziapermartina #chilhavisto
AMORE	Siamo vicini a qualsiasi donna maltrattata in qualsiasi parte del mondo in qualsiasi momento , come ora lo siamo per idolo che è avvenuto in Turchia 🇹🇷
TRISTEZZA	 Sentire il boato fin qua mi ha spezzato il cuore Tanto quanto vedere il crollo #PonteMorandi
RABBIA	" #DiMaio : "" #Atlantia azienda decotta "
NEUTRA	 A settembre aprirà nel Pisano un polo logistico di cinquemila metri quadrati 
AMORE	Sport nazionale  In amore ed in guerra vale tutto.. No? Non sei sposata!1 è normale che non sei morta di femminicidio e quindi bocca di rosa. Se poi garantisce il fratellone reporter che manco sa come ti chiami....
GIOIA	Femminicidio in Svizzera: «Una realtà che va combattuta». Grazie a Marina Carobbio e Greta Gysin per i loro atti parlamentari.
TRISTEZZA	Scusi, Fusani, il bodyshaming esiste solo per le donne? Se avessero fatto a lei un commento simile avrebbe parlato di sessismo, vero? Che ipocrisia. #DrittoeRovescio
NEUTRA	 la magistratura ha messo sotto indagine il PD per appropriazione indebita e per peculato
