label,text
Sadness,"Denunciamo ufficialmente ""stalking di Stato"". Come è caduta in basso la mia povera Italia oramai allo sbando più completo. Significativo di colonello completamente fuori di testa e piccolo ispettore di polizia che si sente il capo della Polizia."
Love,"@CiccioCampagna Ah..!! Prevert.. Prevert!... Mi fai ancora sognare..(Questo amore , cosi violento, cosi' disperato.. cosi' fragile)"
Joy,Vola amore..vola sul ponte!
Joy,Ed ecco qua il classico COGLIONE che fa body shaming senza MOSTRARSI... Io sono grasso e morirò di un ccoccolone ma posso andare in giro a testa alta... #grindr #gayitalia #LGBT #lgbtq #pride
Neutral,"Immaginatevi contestualizzare lo stupro di montanelli dicendo che ha fatto anche tante cose buone. Lo fa sul corriere (pic). Se invece volete riflettere sulla questione della rimozione delle statutue, leggete qui"
Anger,Vedere alcuni aziende fare propaganda sul tema BLM e sulla lotta alla discriminazione di ogni genere mi fa RIBOLLIRE IL SANGUE NELLE VENE. Siete delle merde vere.
Sadness,Breve storia (non tanto) triste 💙 Quando finalmente capirete che siete pienissime di misoginia interiorizzata sarà comunque troppo tardi
Sadness,"D'altronde l'Italia è, ad oggi, uno dei paesi in cima alla classifica per gli habitué del turismo sessuale laddove le bambine costano solo pochi euro. Cosa volete voi che vi lamentate per una statua, queste sono le usanze, questa è la tradizione."
Love,L' amore è una parola di luce. Ci fa brillare già ad averla tra le labbra...
Anger,"In casa abbiamo questa cristiana di 37 anni che continua a farci una sorta di bodyshaming pensando di far ridere ma in realtà fa al minimo pena Ieri una mia coinquilina ha detto dopo cena ""avrei voglia di un dolcino"" e lei ""eh no"" Ma no cosa? Levati dalle palle"
Love,@TalcumXesq @davidmweissman @bennyjohnson @JoeBiden È la figlia malato pervertito. Si vede che è solo un abbraccio di amore paterno
Anger,"1 Maggio 2020 #Milano, duplice violenza sessuale: preso maniaco seriale nigeriano Clandestinamente in Italia dal 2018 aveva segnalazioni per atti persecutori, violenze sessuali e resistenza a pubblico ufficiale finalmente finito dietro le sbarre Sinistri vi vorrei in ginocchio"
Anger,"Sì però ragazzi ora non fate i moralisti perché le ragazze faranno bodyshaming dietro le spalle, ma voi lo fate di persona e vi accanite pure, quindi non siete molto meglio"
Anger,Quindi Martina si è buttata da un balcone xché soffriva tanto di depressione e non xché fuggiva da uno stupro.? Nn so se sia più tragico guardare negli occhi gli stupratori di tua figlia o guardare negli occhi un giudice che esprime una sentenza così ABOMINEVOLE
Anger,"Se c'è qualcuno che mi sta sul cazzo qui su twitter è solo una persona che fa ""black humor"" spicciolo, bodyshaming e drama inutile. E sapete tutti a chi mi sto riferendo"
Neutral,"Completamente d'accordo con Marco Crepaldi, il problema della misoginia, della #violenzasulledonne non è rivolta alle donne in quanto tali, è la violenza in generale il problema, che si riversa anche sulle donne."
Anger,"Violenza domestica Reggio Emilia, il figlio minorenne chiede aiuto al 112 e salva la mamma via in cella e si butta la chiave"
Surprise,Quindi parco cremaldi che per mesi ha alimentato la misoginia interiorizzata con i suoi video ora si è offeso perché giustamente se tiri la corda dopo un po' si spezza aka la gente poi si rompe il cazzo? Ma non mi dire.
Joy,"#BloodAndWater è una di quelle serie tv che mette tutti allo stesso livello. Non c’è discriminazione di genere, di orientamento sessuale o colore della pelle. È bellissimo."
Love,"Si parlo solo dei 1d perché è una page su gli 1d AHAHA ma dato che ariana è il mio amore assoluto e la mia cantante preferita, non ho potuto fare a meno di notare "" ARIANA"" in tendenza e quindi nulla LA AMO DA MORIRE: ariana ariana ariana ariana ariana ariana ariana ariana https://t.co/jfri5YqHf6"
Joy,che bello raga finalmente dovevamo preoccuparci se fosse successo il contrario
Sadness,"Sto leggendo le storie delle mie.mots che hanno subito una forma di violenza sessuale ho le lacrime agli occhi e ho dolore allo stomaco Vorrei poter cancellare tutto il male che vi hanno fatto, vorrei che non aveste MAI dovuto subire nulla di tutto questo,NESSUNA-"
Neutral,"La pandemia ha colpito duramente le donne in Italia. Lo dimostrano le richieste di aiuto al 1522, ma anche alle nostre operatrici, e i risultati dell'indagine realizzata con . Non abbiamo mai smesso di supportare le donne in questa crisi"
Joy,Comunque ho rinunciato a quel lavoro con quell'omofobo schifoso che faceva bodyshaming nei suoi pezzi e ieri ne ho trovato uno che mi porta il doppio del guadagno con un cantautore vecchio stampo. Karma?
Anger,"“Alpha Woman fa body shaming sull’uomo” scusa, perché non ci prendiamo un attimo per discutere di tutte le paginette del cazzo che fanno body shaming sulle donne? ah no giusto quelle vi fanno ridere"
Love,Eterna gratitudine alle operatrici del Centro antiviolenza della Clinica Mangiagalli ❤️
Love,Andiamo avanti con i mercoledì all'insegna del rispetto con #nonviolenzatuttolanno I vostri tweet scritti nella giornata contro la violenza sulle donne. Perché l'attenzione a questo tema così doloroso non venga mai a mancare.
Anger,"Assurdo questo servizio di Nina, ma come cazzo facciamo noi donne a denunciare una violenza se la polizia stessa aspetta che succeda il peggio prima di intervenire? Sono schifata. #LeIene"
Anger,raga ma che sta a di non ha senso il suo discorso NON CAPISCO COSA C'ENTRINO I TRANS CON LA MISOGINIA NELLA SOCIETÀ NON CAPISCOOO
Joy,"Unico lato positivo della mia misoginia interiorizzata che mi ha fatto schifare per anni i musical perchè ""roba da femminucce"" è che mi ha fatto evitare anche glee come la peste. Sarò stato scemo, ma almeno non sto scoprendo che i miei faves fanno uno più schifo dell'altro,,,"
Anger,"Basita dai commenti di bodyshaming sotto le foto di Giulia De Lellis. Sono le stesse che l’8 marzo fanno post su quanto sia bella la donna in tutte le sue sfaccettature? E non c’è niente da dirle, è bellissima anche senza il culo pompato con photoshop come tutte. #damellis"
Neutral,"Raga help¡! Qualcuno ha articoli, interviste, libri, saggi, qualsiasi cosa su violenza assistita e domestica e il ruolo della scuola in queste situazioni? #violenzadomestica #violenzasulledonne #violenzaassistita #violenzaminorile"
Joy,La vittima è riuscita a fuggire in strada e ad allertare le forze dell’ordine che sono giunte prontamente sul posto. #Catania #Violenza #Cronaca #NewSicilia   https://t.co/0SM7xb8JKO
Fear,la vostra misoginia è così lampante e ciò che mo fa paura è che venga da mostly women i lib sono scemi in culo sì ma mi fanno una paura tremenda
Anger,"quando un maschio babbano che conosco da un bel pò viene a dirmi che ""secondo me un pò lo stupro te lo sei cercato"" mi fa partire l'embolo e fa uscire la brutta parte che vive dentro me. con che coraggio potete dire una cosa simile porca puttana, come, come ci riuscite poi."
Joy,Assolutamente fantastica la sensibilità delle donne che supportano le donne.Eventi di violenza accadono ogni minuto in ogni parte delmondo.L’interruzione di ogni “events” per 15 giorni è un segnale forte di rispetto nei confronti di chi soffre. Saranno condivise solo le info 🙏🏻
Anger,"Giustificare sempre la violenza personale e screditare le persone che hai bloccato e puntualmente.. Ti credi nel giusto allora sei un despota che deve screditare, umiliare le persone bloccate e ti credi onnipotente a vita.."
Love,malato terminale l’importante per lui è stare insieme a chi gli vuol bene e dispensare a sua volta Amore ❤️
Sadness,"Mi sento offeso nel profondo del cuore. Questo è #bodyshaming , perché l’uomo deve essere rappresentato in carne? #ImmuniApp Vi meritate sempre e comunque Giorgia Meloni professoressa di Diritto Privato."
Joy,"passare da un amore appassionato malato ed ossessivo ad uno bilanciato, pacato e maturo è come prendere una boccata d'ossigeno a pieni polmoni dopo aver cercato invano per anni di respirare sott'acqua"
Love,"Taylor, cresciuta con una mamma che le faceva violenza psicologica e un padre assente, riesce ad essere un essere umano stupendo, un'ottima amica e una ragazza supportiva e amorevole #TheOC"
Love,"Non era una persona qualsiasi:Parlo di Dio! Quel Dio spesso sbeffeggiato, incolpato, deriso:che ama di un Amore sincero. Che ci ha sempre dato consiglio per vivere in pace e armonia. Ma l'uomo cosa fa? Lo chiude fuori della porta convinto che può farne a meno. E vero anche:"
Joy,"Rula Jebreal, mi ricordo ancora il tuo discorso a Sanremo2020 sulla violenza contro le donne. Felicissimo di rivederti ad #Atlantide stasera a parlare del razzismo di Trump e delle elezioni presidenziali in America."
Joy,"passare da un amore appassionato malato ed ossessivo ad uno bilanciato, pacato e maturo è come prendere una boccata d'ossigeno a pieni polmoni dopo aver cercato invano per anni di respirare sott'acqua"
Joy,"oggi ho avuto la prima lezione di un corso sulla violenza di genere e non vedo l'ora di continuare, questi temi mi stanno molto a cuore"
Love,Seppellire l'odio sotto una montagna di amore  #ProudBoys 🧡💜💙💚♥️
Anger,la quantità di donne vittime di femminicidio stupro cresce esponenzialmente ogni anno e voi siete lì a preoccuparvi per un cazzo di maschio bianco etero che frigna perché gli hanno fatto notare che è un maschio bianco etero ma allora ci siete nati così imbecilli
Sadness,"Tra misoginia, sgomberi, rivolte e amici delle guardie quanta merda che viene a galla tra i/le cumpa, madre de dios..."
Surprise,"Minchia come lo spiego alla tipa che mi ha accusata di body shaming nei confronti del suo beniamino tenore che canta cover orribili che non mi ero sul serio accorta che la foto fosse modificata, visto che mi ha scritto “non fingiamo di non capire che è una foto modificata1!1!”"
Sadness,"Non bisogna mai giustificare la violenza . Violenza genera violenza. Una scia di morti e vendette ,che non finiscono mai ."
Neutral,E comunque tutta questa indignazione sui social per tutte le vittime di femminicidio e violenza di genere non la vedo mai
Anger,"Sudafrica, donna incinta uccisa a coltellate e appesa a un albero (via ) Per lei nessuna marcia, nessun inginocchiamento e nessun vips ""annientato dal dolore"" a bordopiscina ?"
Joy,". “Ho parlato di #bodyshaming e #fatshaming in Parlamento, perché credo che solo nominarli faccia bene e perchè molta pubblicistica ha relegato questi temi come qualcosa che riguarda le donne; poteva avere un significato che ne parlasse una voce maschile”"
Love,"@CavaleraDaniele Quindi la violenza appare sulle donne ma scompare sui bambini. Diventa ""amore, amicizia, affinità, dedizione"""
Love,Amore è stare svegli tutta la notte con con un bambino malato. O con un adulto molto in salute. 🌹❤💋 https://t.co/chKVPxhJ5c
Anger,"Morì fuggendo a stupro, appello assolve gli imputati - In sostanza, la ragazza avrebbe dovuto rimanere ferma li' a farsi stuprare da questi due CRIMINALI per poterli mettere in cella....invece avendo tentato la fuga ed essendo morta, sono LIBERI!"
Joy,"L'unica gioia di questo risultato è che almeno il liberale è il più alto, ma mi turba quel 52% di radicale, brividi. Un po' marxista forse lo sono davvero mi sa Il tradizionalismo così alto non l'ho capito perché, forse perché non credo alla cultura dello stupro boh https://t.co/dBVM8Gy54C"
Anger,"Perché nascondere il fatto che sia morta innanzitutto per misoginia? A me di simile tra i due casi sembra di vedere solo donne silenziate. Magari fate più articoli su chi diffonde informazioni personali, rp e cp, non per la risposta a video con idee pericolose?"
